Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4331
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.485
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.6117
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.015
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.1233
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.9788
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2293
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2717
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2099
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4664
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9357
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9151
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9036
03:53:44,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9095
03:53:44,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0144
03:53:45,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:53:45,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:53:45,NETWORK_IO,IN_RECV,20.42.73.24,192.168.52.110,0.0625
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8445
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.8397
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.7574
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7993
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7312
03:53:45,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0208
