Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8542
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4476
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.0285
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.3817
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.3634
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.8558
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.637
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,5.5187
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.2459
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.6504
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.6153
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.6116
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.3768
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.4186
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8433
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.3757
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.5432
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1124
03:51:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0827
03:51:55,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:55,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0137
03:51:55,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:55,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:56,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:56,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:56,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:56,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:51:56,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:51:56,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:51:56,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:56,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:57,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:57,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:57,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:57,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0114
03:51:58,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:58,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,39.5857
03:51:58,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,37.0857
03:51:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.6541
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,36.2087
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,35.3005
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,34.3923
03:51:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4246
03:51:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0382
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,33.4841
03:51:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9996
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,32.5759
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,31.6677
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,30.7595
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,29.8513
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,28.9431
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,28.0349
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,27.1267
03:51:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.5885
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,26.2185
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,25.3103
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,24.4021
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,23.4939
03:51:58,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,22.5857
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,21.6775
03:51:58,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,20.7693
03:51:58,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
03:51:58,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:58,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:59,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:59,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0578
03:51:59,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:59,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0137
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,39.5857
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,19.8611
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,17.2991
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,16.4289
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,15.5588
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,39.4821
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,39.391
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,14.6887
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2194
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,13.8186
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,39.2087
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,12.9485
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,12.0784
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,38.9657
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.5371
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,11.2082
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,10.3381
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,9.468
