Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
04:28:38,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:38,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,140.82.112.22,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,51.104.15.253,192.168.52.110,0.0625
04:28:39,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,51.104.15.253,192.168.52.110,0.0625
04:28:39,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
04:28:39,NETWORK_IO,IN_RECV,51.104.15.253,192.168.52.110,0.0625
04:28:39,NETWORK_IO,IN_RECV,51.104.15.253,192.168.52.110,0.0625
04:28:40,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:40,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:41,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:41,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:42,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
04:28:42,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
04:28:42,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
04:28:42,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:42,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:43,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0091
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,39.5853
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,37.0228
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,36.1004
04:28:43,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7197
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,35.1922
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,34.284
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,33.3758
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,32.4676
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,31.5594
04:28:43,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:43,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,30.6512
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,29.743
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,28.8348
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,27.9266
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,27.0184
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,26.1102
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,25.202
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,24.2938
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,23.3856
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,22.4774
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,21.5692
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,20.661
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,19.7528
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,18.8446
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,17.9364
04:28:43,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.9965
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,17.0282
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,16.12
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,15.2118
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,14.3036
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,13.3954
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,12.4872
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,11.579
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,10.6708
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,9.7626
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,8.8544
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,7.9461
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,7.0379
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,6.1297
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,5.2215
04:28:43,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,4.3133
